H,T,S,hit_rate,win_rate,expectancy_bps,cost_bps
60,1,1,0.6041666666666666,0.0002777777777777778,-0.5392509142229512,0.5862670634507873
60,1,2,0.7278888888888888,0.0003194444444444444,-0.5435387483617623,0.5862670634507873
60,1,3,0.7892361111111111,0.0003611111111111111,-0.5488497867208436,0.5862670634507873
60,1,5,0.8566666666666666,0.0004027777777777778,-0.5544031647386717,0.5862670634507873
60,1,10,0.9178055555555554,0.0005833333333333334,-0.5606813272168519,0.5862670634507873
60,1,20,0.9505416666666666,0.0006805555555555557,-0.5620816652050679,0.5862670634507873
60,2,1,0.4146111111111111,0.13586111111111113,-0.533472792365875,0.5862670634507873
60,2,2,0.5534166666666667,0.18425,-0.5388217861111778,0.5862670634507873
60,2,3,0.6360972222222222,0.2126388888888889,-0.545353876766242,0.5862670634507873
60,2,5,0.7368333333333333,0.24591666666666667,-0.5537649013302256,0.5862670634507873
60,2,10,0.8396805555555554,0.2787777777777778,-0.5633299886708635,0.5862670634507873
60,2,20,0.8986944444444444,0.296375,-0.5651938997472991,0.5862670634507873
60,3,1,0.3169722222222222,0.22231944444444443,-0.5292719809265352,0.5862670634507873
60,3,2,0.4479722222222222,0.3162916666666667,-0.5340188327263949,0.5862670634507873
60,3,3,0.5344722222222222,0.3778888888888889,-0.540701883407627,0.5862670634507873
60,3,5,0.6469999999999999,0.4569166666666667,-0.5518225802390675,0.5862670634507873
60,3,10,0.7731805555555556,0.5443472222222222,-0.5631405879494075,0.5862670634507873
60,3,20,0.8492083333333333,0.5966944444444445,-0.5672101172327065,0.5862670634507873
60,5,1,0.21569444444444444,0.20806944444444445,-0.5208076622604362,0.5862670634507873
60,5,2,0.3227361111111111,0.31136111111111114,-0.5249884813534185,0.5862670634507873
60,5,3,0.40287500000000004,0.38881944444444444,-0.5293898880352822,0.5862670634507873
60,5,5,0.5171527777777778,0.4998611111111111,-0.5410642343076334,0.5862670634507873
60,5,10,0.6616527777777778,0.6405694444444444,-0.5536572076481793,0.5862670634507873
60,5,20,0.754375,0.7307916666666667,-0.5687722981837487,0.5862670634507873
60,10,1,0.12102777777777778,0.12345833333333334,-0.5102457849425662,0.5862670634507873
60,10,2,0.19002777777777777,0.19543055555555555,-0.511730314630606,0.5862670634507873
60,10,3,0.24522222222222223,0.25366666666666665,-0.5205322016498605,0.5862670634507873
60,10,5,0.3344444444444445,0.3486944444444444,-0.5393520398979245,0.5862670634507873
60,10,10,0.4663333333333333,0.4913888888888889,-0.556495888890304,0.5862670634507873
60,10,20,0.5564444444444444,0.5927083333333333,-0.5810548475158582,0.5862670634507873
300,1,1,0.6041666666666666,0.0002777777777777778,-0.5392509142229512,0.5862670634507873
300,1,2,0.7278888888888888,0.0003194444444444444,-0.5435387483617623,0.5862670634507873
300,1,3,0.7892361111111111,0.0003611111111111111,-0.5488497867208436,0.5862670634507873
300,1,5,0.8567083333333333,0.0004027777777777778,-0.5544303427812622,0.5862670634507873
300,1,10,0.9187777777777778,0.0005972222222222222,-0.560909584251278,0.5862670634507873
300,1,20,0.9561666666666667,0.0007361111111111111,-0.5633278308742239,0.5862670634507873
300,2,1,0.4146111111111111,0.13586111111111113,-0.533472792365875,0.5862670634507873
300,2,2,0.5534305555555555,0.18425,-0.538823666087475,0.5862670634507873
300,2,3,0.6361388888888889,0.21265277777777777,-0.545336972687431,0.5862670634507873
300,2,5,0.7371527777777778,0.246125,-0.5537198431645128,0.5862670634507873
300,2,10,0.8423194444444445,0.2803333333333333,-0.5642376919649862,0.5862670634507873
300,2,20,0.9112916666666666,0.302125,-0.5696601928404882,0.5862670634507873
300,3,1,0.3169722222222222,0.22231944444444443,-0.5292719809265352,0.5862670634507873
300,3,2,0.44799999999999995,0.31630555555555556,-0.5340218750951747,0.5862670634507873
300,3,3,0.5345833333333333,0.37795833333333334,-0.5407058706504111,0.5862670634507873
300,3,5,0.6477777777777778,0.45751388888888894,-0.5520393974440814,0.5862670634507873
300,3,10,0.7785694444444444,0.5490277777777778,-0.5646591798846611,0.5862670634507873
300,3,20,0.8701805555555556,0.6138055555555556,-0.576259314136489,0.5862670634507873
300,5,1,0.2157638888888889,0.2081111111111111,-0.5207766611998271,0.5862670634507873
300,5,2,0.32304166666666667,0.31156944444444445,-0.5249256540692918,0.5862670634507873
300,5,3,0.4036527777777778,0.3893194444444445,-0.5294688170385689,0.5862670634507873
300,5,5,0.520263888888889,0.5020555555555556,-0.5412239569302076,0.5862670634507873
300,5,10,0.6745694444444444,0.6510555555555556,-0.5559617690061425,0.5862670634507873
300,5,20,0.7960416666666666,0.7679722222222223,-0.5776653144536333,0.5862670634507873
300,10,1,0.12287500000000001,0.12280555555555556,-0.5094910107011171,0.5862670634507873
300,10,2,0.1944861111111111,0.19440277777777779,-0.5099363150520122,0.5862670634507873
300,10,3,0.2526388888888889,0.25252777777777774,-0.5185228168586566,0.5862670634507873
300,10,5,0.34933333333333333,0.34923611111111114,-0.5373047447199188,0.5862670634507873
300,10,10,0.5051111111111112,0.5055833333333334,-0.5598205935524319,0.5862670634507873
300,10,20,0.6568888888888889,0.658875,-0.5790806527452813,0.5862670634507873
